Period1,Bouts1,Nursing1,Lockons1,DayNght1,Period2,Bouts2,Nursing2,Lockons2,DayNght2,Change in nursing,Lagged nursing,Lagged lockons,Lagged bouts
1,0,0,0,0,1,0,0,0,0,,,,
2,0,0,0,1,2,0,0,0,1,0,0,0,0
3,0,0,0,1,3,0,0,0,1,0,0,0,0
4,0,0,0,0,4,9,59,12,0,0,0,0,0
5,0,0,0,0,5,10,228,28,0,0,0,0,0
6,4,26,5,1,6,13,260,35,1,26,0,0,0
7,10,42,11,1,7,9,255,22,1,16,26,5,4
8,9,143,17,0,8,10,538,35,0,101,42,11,10
9,13,244,33,0,9,10,228,27,0,101,143,17,9
10,9,137,25,1,10,10,485,34,1,-107,244,33,13
11,11,175,37,1,11,10,426,27,1,38,137,25,9
12,10,181,27,0,12,11,693,33,0,6,175,37,11
13,8,105,21,0,13,14,541,33,0,-76,181,27,10
14,9,190,34,1,14,10,509,30,1,85,105,21,8
15,9,203,32,1,15,7,462,28,1,13,190,34,9
16,7,202,21,0,16,10,813,36,0,-1,203,32,9
17,7,202,17,0,17,11,873,33,0,0,202,21,7
18,8,162,21,1,18,13,756,36,1,-40,202,17,7
19,6,121,12,1,19,10,720,34,1,-41,162,21,8
20,4,121,11,0,20,9,497,28,0,0,121,12,6
21,10,272,33,0,21,7,644,20,0,151,121,11,4
22,7,248,25,1,22,5,371,16,1,-24,272,33,10
23,5,100,11,1,23,7,513,22,1,-148,248,25,7
24,7,230,28,0,24,10,470,21,0,130,100,11,5
25,7,208,16,0,25,12,688,39,0,-22,230,28,7
26,8,198,17,1,26,10,737,33,1,-10,208,16,7
27,12,204,25,1,27,11,805,34,1,6,198,17,8
28,8,222,22,0,28,8,450,12,0,18,204,25,12
29,12,303,28,0,29,13,772,42,0,81,222,22,8
30,10,379,30,1,30,15,954,55,1,76,303,28,12
31,13,371,32,1,31,14,702,34,1,-8,379,30,10
32,6,155,14,0,32,14,613,32,0,-216,371,32,13
33,11,259,25,0,33,14,825,47,0,104,155,14,6
34,11,384,30,1,34,11,537,30,1,125,259,25,11
35,17,465,42,1,35,11,600,36,1,81,384,30,11
36,11,383,40,0,36,11,491,36,0,-82,465,42,17
37,16,482,49,0,37,14,888,58,0,99,383,40,11
38,10,157,21,1,38,14,605,47,1,-325,482,49,16
39,15,293,33,1,39,11,497,35,1,136,157,21,10
40,8,211,22,0,40,15,419,34,0,-82,293,33,15
41,14,215,23,0,41,13,494,42,0,4,211,22,8
42,6,93,11,1,42,14,524,47,1,-122,215,23,14
43,13,251,25,1,43,11,430,35,1,158,93,11,6
44,16,286,30,0,44,13,444,30,0,35,251,25,13
45,13,258,28,0,45,15,659,47,0,-28,286,30,16
46,13,262,33,1,46,12,442,36,1,4,258,28,13
47,13,192,27,1,47,13,411,30,1,-70,262,33,13
48,11,298,20,0,48,18,590,42,0,106,192,27,13
49,11,176,17,0,49,18,515,47,0,-122,298,20,11
50,8,95,11,1,50,17,440,51,1,-81,176,17,11
51,7,105,10,1,51,13,533,44,1,10,95,11,8
52,6,86,11,0,52,13,445,41,0,-19,105,10,7
53,8,177,12,0,53,15,404,40,0,91,86,11,6
54,9,184,17,1,54,17,362,37,1,7,177,12,8
55,6,145,9,1,55,11,506,34,1,-39,184,17,9
56,5,129,9,0,56,14,353,36,0,-16,145,9,6
57,6,81,7,0,57,12,492,37,0,-48,129,9,5
58,11,167,14,1,58,11,344,33,1,86,81,7,6
59,8,148,9,1,59,12,477,41,1,-19,167,14,11
60,8,128,9,0,60,10,411,32,0,-20,148,9,8
61,12,241,17,0,61,8,351,11,0,113,128,9,8
62,5,51,5,1,62,12,409,23,1,-190,241,17,12
63,8,163,11,1,63,14,463,37,1,112,51,5,5
64,5,119,7,0,64,12,377,27,0,-44,163,11,8
65,6,125,9,0,65,13,443,30,0,6,119,7,5
66,11,253,21,1,66,11,344,28,1,128,125,9,6
67,11,123,14,1,67,11,423,22,1,-130,253,21,11
68,8,102,11,0,68,8,200,20,0,-21,123,14,11
69,4,39,4,0,69,8,299,17,0,-63,102,11,8
70,9,111,11,1,70,8,204,17,1,72,39,4,4
71,6,102,7,1,71,10,326,22,1,-9,111,11,9
72,6,129,9,0,72,10,292,17,0,27,102,7,6
73,12,196,15,0,73,11,277,25,0,67,129,9,6
74,8,128,11,1,74,11,380,17,1,-68,196,15,12
75,14,198,22,1,75,11,228,25,1,70,128,11,8
76,9,95,11,0,76,11,226,23,0,-103,198,22,14
77,13,166,17,0,77,9,332,16,0,71,95,11,9
78,10,61,10,1,78,10,228,22,1,-105,166,17,13
79,12,133,12,1,79,11,172,22,1,72,61,10,10
80,7,144,15,0,80,7,284,14,0,11,133,12,12
81,12,167,17,0,81,8,228,17,0,23,144,15,7
82,7,100,10,1,82,11,180,15,1,-67,167,17,12
83,6,97,10,1,83,8,225,16,1,-3,100,10,7
84,12,154,17,0,84,12,216,19,0,57,97,10,6
85,8,126,12,0,85,9,176,14,0,-28,154,17,12
86,17,207,23,1,86,13,252,22,1,81,126,12,8
87,10,154,15,1,87,9,126,11,1,-53,207,23,17
88,14,199,21,0,88,13,528,27,0,45,154,15,10
89,12,187,16,0,89,10,714,16,0,-12,199,21,14
90,10,136,14,1,90,11,435,28,1,-51,187,16,12
91,8,150,10,1,91,8,193,22,1,14,136,14,10
92,10,132,12,0,92,15,565,36,0,-18,150,10,8
93,7,138,9,0,93,12,386,30,0,6,132,12,10
94,10,128,11,1,94,18,694,42,1,-10,138,9,7
95,6,125,8,1,95,15,579,40,1,-3,128,11,10
96,8,151,12,0,96,12,464,37,0,26,125,8,6
97,10,144,16,0,97,4,166,16,0,-7,151,12,8
98,9,220,14,1,98,10,308,30,1,76,144,16,10
99,10,172,14,1,99,14,445,32,1,-48,220,14,9
100,9,167,11,0,100,12,432,34,0,-5,172,14,10
101,11,165,14,0,101,10,345,32,0,-2,167,11,9
102,8,114,8,1,102,9,253,21,1,-51,165,14,11
103,12,158,14,1,103,8,229,28,1,44,114,8,8
104,7,73,7,0,104,9,196,21,0,-85,158,14,12
105,11,144,12,0,105,9,285,28,0,71,73,7,7
106,6,32,5,1,106,7,225,25,1,-112,144,12,11
107,10,130,11,1,107,14,340,25,1,98,32,5,6
108,7,161,16,0,108,10,349,30,0,31,130,11,10
109,7,169,11,0,109,12,339,28,0,8,161,16,7
110,8,142,15,1,110,12,473,36,1,-27,169,11,7
111,11,137,17,1,111,10,338,30,1,-5,142,15,8
112,8,139,12,0,112,10,433,42,0,2,137,17,11
113,10,149,17,0,113,14,323,40,0,10,139,12,8
114,7,135,10,1,114,11,156,22,1,-14,149,17,10
115,9,160,15,1,115,8,80,11,1,25,135,10,7
116,9,290,17,0,116,12,441,41,0,130,160,15,9
117,9,135,11,0,117,15,462,36,0,-155,290,17,9
118,15,173,17,1,118,13,453,30,1,38,135,11,9
119,6,100,8,1,119,11,200,22,1,-73,173,17,15
120,11,137,15,0,120,14,449,37,0,37,100,8,6
121,8,120,11,0,121,15,600,33,0,-17,137,15,11
122,7,100,11,1,122,15,750,27,1,-20,120,11,8
123,10,140,12,1,123,13,320,34,1,40,100,11,7
124,5,132,10,0,124,12,429,28,0,-8,140,12,10
125,10,178,16,0,125,13,513,25,0,46,132,10,5
126,9,139,15,1,126,11,191,30,1,-39,178,16,10
127,10,142,14,1,127,8,257,22,1,3,139,15,9
128,8,107,10,0,128,10,275,22,0,-35,142,14,10
129,6,72,5,0,129,8,244,20,0,-35,107,10,8
130,6,55,7,1,130,9,359,14,1,-17,72,5,6
131,12,258,23,1,131,8,231,17,1,203,55,7,6
132,5,49,5,0,132,7,232,11,0,-209,258,23,12
133,4,164,15,0,133,10,230,21,0,115,49,5,5
134,3,42,4,1,134,4,104,10,1,-122,164,15,4
135,6,70,5,1,135,12,228,23,1,28,42,4,3
136,5,57,7,0,136,12,299,28,0,-13,70,5,6
137,4,45,4,0,137,24,504,60,0,-12,57,7,5
138,6,72,10,1,138,6,174,16,1,27,45,4,4
139,2,19,2,1,139,15,438,45,1,-53,72,10,6
140,1,8,1,0,140,14,372,34,0,-11,19,2,2
141,3,47,2,0,141,12,223,23,0,39,8,1,1
142,4,78,10,1,142,8,267,20,1,31,47,2,3
143,4,75,2,1,143,18,648,66,1,-3,78,10,4
144,7,148,17,0,144,15,444,39,0,73,75,2,4
145,7,126,11,0,145,12,146,17,0,-22,148,17,7
146,3,43,2,1,146,9,360,23,1,-83,126,11,7
147,8,133,17,1,147,9,253,22,1,90,43,2,3
148,6,84,10,0,148,15,446,53,0,-49,133,17,8
149,2,10,2,0,149,12,274,30,0,-74,84,10,6
150,9,117,17,1,150,12,169,22,1,107,10,2,2
151,4,41,8,1,151,9,229,22,1,-76,117,17,9
152,10,23,5,0,152,10,239,25,0,-18,41,8,4
153,7,4,1,0,153,12,244,39,0,-19,23,5,10
154,13,127,22,1,154,9,104,22,1,123,4,1,7
155,10,134,14,1,155,11,191,25,1,7,127,22,13
156,6,94,14,0,156,8,98,19,0,-40,134,14,10
157,7,113,12,0,157,10,132,22,0,19,94,14,6
158,7,132,11,1,158,6,92,15,1,19,113,12,7
159,6,120,5,1,159,8,72,20,1,-12,132,11,7
160,10,114,14,0,160,8,98,23,0,-6,120,5,6
161,8,94,9,0,161,7,132,15,0,-20,114,14,10
162,12,96,16,1,162,9,198,33,1,2,94,9,8
163,10,68,11,1,163,6,68,10,1,-28,96,16,12
164,8,40,8,0,164,12,167,28,0,-28,68,11,10
165,6,126,11,0,165,9,127,20,0,86,40,8,8
166,5,95,11,1,166,14,135,23,1,-31,126,11,6
167,14,124,28,1,167,12,186,30,1,29,95,11,5
168,4,60,9,0,168,7,218,22,0,-64,124,28,14
169,13,107,22,0,169,12,189,23,0,47,60,9,4
170,3,24,5,1,170,10,205,28,1,-83,107,22,13
171,12,90,17,1,171,12,192,17,1,66,24,5,3
172,9,169,22,0,172,11,199,30,0,79,90,17,12
173,18,129,33,0,173,12,171,20,0,-40,169,22,9
174,10,62,20,1,174,12,192,33,1,-67,129,33,18
175,15,107,22,1,175,12,150,21,1,45,62,20,10
176,10,62,19,0,176,8,175,25,0,-45,107,22,15
177,12,84,11,0,177,10,156,22,0,22,62,19,10
178,10,61,17,1,178,11,137,17,1,-23,84,11,12
179,10,86,17,1,179,14,157,19,1,25,61,17,10
180,12,179,22,0,180,9,93,16,0,93,86,17,10
181,10,61,16,0,181,13,197,19,0,-118,179,22,12
182,6,72,16,1,182,6,48,14,1,11,61,16,10
183,11,113,25,1,183,11,236,19,1,41,72,16,6
184,6,91,14,0,184,12,160,17,0,-22,113,25,11
185,11,227,36,0,185,18,196,51,0,136,91,14,6
186,7,44,11,1,186,9,69,11,1,-183,227,36,11
187,6,80,15,1,187,8,222,20,1,36,44,11,7
188,6,65,14,0,188,12,308,25,0,-15,80,15,6
189,6,49,11,0,189,15,244,39,0,-16,65,14,6
190,3,110,16,1,190,11,98,15,1,61,49,11,6
191,2,46,7,1,191,9,153,16,1,-64,110,16,3
192,12,78,11,0,192,12,456,33,0,32,46,7,2
193,6,54,17,0,193,12,291,25,0,-24,78,11,12
194,13,149,23,1,194,12,126,17,1,95,54,17,6
195,10,108,22,1,195,9,84,11,1,-41,149,23,13
196,12,252,44,0,196,14,172,22,0,144,108,22,10
197,9,167,28,0,197,14,170,25,0,-85,252,44,12
198,6,81,11,1,198,15,218,25,1,-86,167,28,9
199,4,53,7,1,199,18,255,39,1,-28,81,11,6
200,12,102,17,0,200,11,144,25,0,49,53,7,4
201,6,6,5,0,201,12,247,27,0,-96,102,17,12
202,10,109,22,1,202,15,271,35,1,103,6,5,6
203,7,69,8,1,203,8,118,23,1,-40,109,22,10
204,9,213,23,0,204,9,275,28,0,144,69,8,7
205,12,168,36,0,205,12,286,30,0,-45,213,23,9
206,9,93,17,1,206,4,104,14,1,-75,168,36,12
207,10,110,17,1,207,8,168,20,1,17,93,17,9
208,13,81,21,0,208,11,275,32,0,-29,110,17,10
209,11,121,22,0,209,16,354,51,0,40,81,21,13
210,16,68,22,1,210,6,96,17,1,-53,121,22,11
211,12,131,28,1,211,8,176,22,1,63,68,22,16
212,10,96,15,0,212,6,74,14,0,-35,131,28,12
213,12,339,47,0,213,8,187,21,0,243,96,15,10
214,5,59,8,1,214,6,51,11,1,-280,339,47,12
215,12,114,14,1,215,7,197,20,1,55,59,8,5
216,10,127,22,0,216,7,85,19,0,13,114,14,12
217,15,155,20,0,217,10,243,36,0,28,127,22,10
218,15,195,37,1,218,8,119,27,1,40,155,20,15
219,17,185,25,1,219,12,288,54,1,-10,195,37,15
220,6,23,5,0,220,10,495,20,0,-162,185,25,17
221,7,60,11,0,221,7,151,28,0,37,23,5,6
222,11,126,20,1,222,12,870,11,1,66,60,11,7
223,8,102,14,1,223,2,14,2,1,-24,126,20,11
224,11,165,16,0,,,,,,63,102,14,8
225,11,189,23,0,,,,,,24,165,16,11
226,11,182,20,1,,,,,,-7,189,23,11
227,15,270,21,1,,,,,,88,182,20,11
228,10,252,28,0,,,,,,-18,270,21,15
